date,open,high,low,close,volume,code
2025-06-09,5505.0,5575.0,5505.0,5555.0,9432,187870
2025-06-10,5555.0,5605.0,5550.0,5575.0,16000,187870
2025-06-11,5525.0,5750.0,5525.0,5735.0,18550,187870
2025-06-12,5750.0,5765.0,5680.0,5760.0,19238,187870
2025-06-13,5765.0,5765.0,5620.0,5650.0,14582,187870
2025-06-16,5655.0,5675.0,5575.0,5635.0,3816,187870
2025-06-17,5630.0,5750.0,5575.0,5630.0,15014,187870
2025-06-18,5630.0,5665.0,5630.0,5655.0,17144,187870
2025-06-19,5700.0,5700.0,5635.0,5685.0,5774,187870
2025-06-20,5685.0,5700.0,5650.0,5660.0,6992,187870
2025-06-23,5650.0,5665.0,5530.0,5585.0,11730,187870
2025-06-24,5585.0,5665.0,5585.0,5625.0,12238,187870
2025-06-25,5650.0,5735.0,5650.0,5710.0,16838,187870
2025-06-26,5750.0,5750.0,5610.0,5610.0,18106,187870
2025-06-27,5665.0,5720.0,5620.0,5650.0,6084,187870
2025-06-30,5650.0,5690.0,5565.0,5615.0,11400,187870
2025-07-01,5615.0,5630.0,5550.0,5600.0,21362,187870
2025-07-02,5615.0,5615.0,5540.0,5570.0,13318,187870
2025-07-03,5575.0,5625.0,5550.0,5575.0,10162,187870
2025-07-04,5575.0,5630.0,5500.0,5595.0,7954,187870
2025-07-07,5575.0,5595.0,5535.0,5570.0,5966,187870
2025-07-08,5535.0,5570.0,5485.0,5525.0,16036,187870
2025-07-09,5530.0,5575.0,5450.0,5450.0,15418,187870
2025-07-10,5505.0,5525.0,5460.0,5525.0,8284,187870
2025-07-11,5525.0,5580.0,5475.0,5565.0,14176,187870
2025-07-14,5565.0,5590.0,5525.0,5575.0,18036,187870
2025-07-15,5575.0,5600.0,5535.0,5580.0,11024,187870
2025-07-16,5580.0,5580.0,5505.0,5535.0,2668,187870
2025-07-17,5570.0,5570.0,5505.0,5550.0,6550,187870
2025-07-18,5495.0,5575.0,5490.0,5575.0,25208,187870
2025-07-21,5650.0,5685.0,5515.0,5515.0,8764,187870
2025-07-22,5570.0,5595.0,5505.0,5595.0,12350,187870
2025-07-23,5650.0,5650.0,5485.0,5635.0,8308,187870
2025-07-24,5635.0,5635.0,5570.0,5600.0,5738,187870
2025-07-25,5600.0,5645.0,5540.0,5540.0,6344,187870
2025-07-28,5540.0,5540.0,5495.0,5535.0,20882,187870
2025-07-29,5590.0,5725.0,5510.0,5590.0,14628,187870
2025-07-30,5590.0,5635.0,5560.0,5600.0,12062,187870
2025-07-31,5600.0,5615.0,5540.0,5615.0,17024,187870
2025-08-01,5600.0,5745.0,5520.0,5520.0,11006,187870
2025-08-04,5520.0,5585.0,5480.0,5580.0,13680,187870
2025-08-05,5580.0,5675.0,5580.0,5605.0,14392,187870
2025-08-06,5605.0,5655.0,5575.0,5635.0,16602,187870
2025-08-07,5630.0,5660.0,5600.0,5650.0,16760,187870
2025-08-08,5745.0,5960.0,5700.0,5960.0,89112,187870
2025-08-11,5880.0,6025.0,5875.0,6025.0,39752,187870
2025-08-12,6000.0,6090.0,5890.0,5890.0,33486,187870
2025-08-13,5890.0,6000.0,5845.0,5955.0,33096,187870
2025-08-14,6015.0,6015.0,5925.0,5930.0,17656,187870
2025-08-18,5930.0,5930.0,5735.0,5780.0,19034,187870
2025-08-19,5755.0,5780.0,5715.0,5725.0,6708,187870
2025-08-20,5725.0,5725.0,5560.0,5655.0,11556,187870
2025-08-21,5650.0,5765.0,5650.0,5685.0,4996,187870
2025-08-22,5685.0,5700.0,5655.0,5655.0,3806,187870
2025-08-25,5650.0,5705.0,5635.0,5685.0,5324,187870
2025-08-26,5685.0,5685.0,5620.0,5655.0,7110,187870
2025-08-27,5655.0,5655.0,5590.0,5615.0,3488,187870
2025-08-28,5600.0,5665.0,5575.0,5605.0,4250,187870
2025-08-29,5665.0,5690.0,5575.0,5605.0,6386,187870
2025-09-01,5555.0,5570.0,5510.0,5515.0,12294,187870
2025-09-02,5670.0,5670.0,5440.0,5450.0,11030,187870
2025-09-03,5460.0,5500.0,5365.0,5380.0,9238,187870
2025-09-04,5375.0,5460.0,5375.0,5425.0,2058,187870
2025-09-05,5425.0,6490.0,5420.0,5665.0,387204,187870
2025-09-08,5665.0,5730.0,5580.0,5725.0,23248,187870
2025-09-09,5680.0,5735.0,5625.0,5675.0,20878,187870
2025-09-10,5675.0,5745.0,5675.0,5730.0,16530,187870
2025-09-11,5730.0,5740.0,5690.0,5740.0,13522,187870
2025-09-12,5740.0,5890.0,5700.0,5890.0,22352,187870
2025-09-15,5925.0,6100.0,5900.0,6100.0,49116,187870
2025-09-16,6100.0,6250.0,6005.0,6100.0,31678,187870
2025-09-17,6060.0,6115.0,5920.0,6050.0,18016,187870
2025-09-18,6030.0,6420.0,5980.0,6330.0,76232,187870
2025-09-22,6280.0,6345.0,6160.0,6185.0,25234,187870
2025-09-23,6185.0,6280.0,6085.0,6085.0,27526,187870
2025-09-24,6085.0,6085.0,5890.0,6020.0,39854,187870
2025-09-25,6085.0,6085.0,5805.0,5910.0,48472,187870
2025-09-26,5910.0,5910.0,5775.0,5810.0,19614,187870
2025-09-29,5810.0,5920.0,5800.0,5900.0,19298,187870
2025-09-30,5930.0,5950.0,5855.0,5890.0,18972,187870
2025-10-01,5930.0,6190.0,5890.0,6075.0,34366,187870
2025-10-02,6245.0,6600.0,6090.0,6580.0,106040,187870
2025-10-10,6745.0,6945.0,6550.0,6625.0,62886,187870
2025-10-13,6405.0,6575.0,6340.0,6430.0,26040,187870
2025-10-14,6525.0,6795.0,6250.0,6495.0,54172,187870
2025-10-15,6500.0,6680.0,6500.0,6590.0,20008,187870
2025-10-16,6590.0,6590.0,6300.0,6350.0,27434,187870
2025-10-17,6275.0,6300.0,6075.0,6235.0,27110,187870
2025-10-20,6245.0,6475.0,6195.0,6450.0,34168,187870
2025-10-21,6450.0,6510.0,6405.0,6500.0,33236,187870
2025-10-22,6690.0,6690.0,6260.0,6480.0,27812,187870
2025-10-23,6435.0,6435.0,6260.0,6375.0,14902,187870
2025-10-24,6375.0,6375.0,6170.0,6240.0,34046,187870
2025-10-27,6240.0,6325.0,5995.0,6300.0,51500,187870
2025-10-28,6210.0,6420.0,6160.0,6220.0,29068,187870
2025-10-29,6305.0,6305.0,6110.0,6135.0,21624,187870
2025-10-30,6135.0,6135.0,5960.0,6000.0,44136,187870
2025-10-31,6000.0,6045.0,5955.0,5960.0,30148,187870
2025-11-03,5945.0,5985.0,5850.0,5850.0,37322,187870
2025-11-04,5970.0,5970.0,5765.0,5845.0,29604,187870
2025-11-05,5850.0,5925.0,5555.0,5890.0,76162,187870
2025-11-06,5895.0,6045.0,5805.0,5990.0,37712,187870
2025-11-07,5950.0,6160.0,5875.0,5970.0,47686,187870
2025-11-10,5925.0,6115.0,5890.0,6115.0,17482,187870
2025-11-11,6115.0,6160.0,5985.0,6075.0,11018,187870
2025-11-12,5980.0,6085.0,5945.0,6025.0,17798,187870
2025-11-13,5970.0,7650.0,5965.0,6800.0,891874,187870
2025-11-14,6700.0,6805.0,6365.0,6515.0,154742,187870
2025-11-17,6550.0,7200.0,6550.0,7095.0,357434,187870
2025-11-18,7145.0,7145.0,6725.0,6920.0,110412,187870
2025-11-19,6860.0,6900.0,6550.0,6845.0,55236,187870
2025-11-20,6990.0,7110.0,6885.0,7025.0,60790,187870
2025-11-21,6985.0,7125.0,6625.0,7035.0,60170,187870
2025-11-24,7075.0,7425.0,6975.0,7290.0,155972,187870
2025-11-25,7315.0,7620.0,7000.0,7275.0,125316,187870
2025-11-26,7275.0,7300.0,7075.0,7300.0,68516,187870
2025-11-27,7370.0,7445.0,7090.0,7250.0,66148,187870
2025-11-28,7250.0,7350.0,7010.0,7140.0,30882,187870
2025-12-01,7295.0,7295.0,6960.0,7170.0,50190,187870
2025-12-02,7170.0,7170.0,7000.0,7100.0,20734,187870
2025-12-03,7030.0,7115.0,6975.0,7105.0,18084,187870
2025-12-04,7105.0,7135.0,6985.0,7125.0,21706,187870
2025-12-05,7125.0,7250.0,7060.0,7190.0,35486,187870
2025-12-08,7190.0,7330.0,7015.0,7125.0,27904,187870
2025-12-09,7100.0,7465.0,7015.0,7435.0,126230,187870
2025-12-10,7440.0,7850.0,7340.0,7350.0,125460,187870
2025-12-11,7355.0,7410.0,7150.0,7245.0,36894,187870
2025-12-12,7075.0,7245.0,6950.0,7005.0,64018,187870
2025-12-15,6860.0,7300.0,6850.0,7195.0,46890,187870
2025-12-16,7195.0,7195.0,7045.0,7105.0,24232,187870
2025-12-17,7125.0,7230.0,7065.0,7175.0,27036,187870
2025-12-18,7090.0,7170.0,7050.0,7125.0,25344,187870
2025-12-19,7060.0,7220.0,7025.0,7095.0,15586,187870
2025-12-22,7045.0,7295.0,7045.0,7205.0,67172,187870
2025-12-23,7465.0,7465.0,7205.0,7320.0,31828,187870
2025-12-24,7260.0,7320.0,7150.0,7225.0,26584,187870
2025-12-26,7155.0,7300.0,7105.0,7175.0,48842,187870
2025-12-29,7125.0,7170.0,6875.0,6905.0,41518,187870
2025-12-30,6905.0,7010.0,6800.0,6915.0,30178,187870
2026-01-02,7050.0,7335.0,7000.0,7250.0,58298,187870
2026-01-05,7330.0,7575.0,7320.0,7525.0,142382,187870
2026-01-06,7530.0,7590.0,7350.0,7535.0,69750,187870
2026-01-07,7585.0,7585.0,7275.0,7375.0,44094,187870
2026-01-08,7400.0,7400.0,6990.0,7025.0,48668,187870
2026-01-09,7025.0,7150.0,6935.0,7000.0,33648,187870
2026-01-12,7030.0,7090.0,6855.0,7080.0,36184,187870
2026-01-13,7025.0,7150.0,6900.0,7150.0,43418,187870
2026-01-14,7150.0,7300.0,7010.0,7165.0,27262,187870
2026-01-15,7085.0,7370.0,7085.0,7240.0,34092,187870
2026-01-16,7240.0,7240.0,7130.0,7195.0,23688,187870
2026-01-19,7120.0,7400.0,7000.0,7340.0,57042,187870
2026-01-20,7340.0,7595.0,7080.0,7340.0,89946,187870
2026-01-21,7280.0,7395.0,7060.0,7395.0,30036,187870
2026-01-22,7590.0,7590.0,7155.0,7370.0,48518,187870
2026-01-23,7315.0,7370.0,7140.0,7370.0,34558,187870
2026-01-26,7370.0,7470.0,7260.0,7450.0,67362,187870
2026-01-27,7420.0,7610.0,7360.0,7580.0,112886,187870
2026-01-28,7685.0,7810.0,7520.0,7725.0,135592,187870
2026-01-29,7770.0,7930.0,7510.0,7765.0,114156,187870
2026-01-30,7750.0,7820.0,7515.0,7745.0,73878,187870
2026-02-02,7685.0,8125.0,7530.0,7745.0,119904,187870
2026-02-03,7800.0,8075.0,7800.0,8030.0,159526,187870
2026-02-04,7950.0,8125.0,7900.0,8100.0,64850,187870
2026-02-05,8040.0,9000.0,7880.0,8245.0,535916,187870
2026-02-06,8300.0,9095.0,8180.0,9050.0,590214,187870
2026-02-09,9300.0,10650.0,9300.0,10450.0,837670,187870
2026-02-10,10500.0,11350.0,10225.0,11250.0,580644,187870
2026-02-11,11200.0,11675.0,10525.0,11500.0,287796,187870
2026-02-12,11475.0,12300.0,10025.0,10650.0,605812,187870
