stock_code,prev_close
005930,299000.0
000660,2101000.0
402340,1228000.0
005935,193500.0
009150,1805000.0
005380,597000.0
373220,384500.0
032830,365000.0
329180,646000.0
028260,410000.0
000270,156000.0
207940,1286000.0
034020,88600.0
105560,151500.0
012450,1014000.0
012330,576000.0
055550,96900.0
034730,575000.0
006400,498500.0
267260,1033000.0
068270,166200.0
066570,226000.0
035420,224000.0
010120,229500.0
042660,104500.0
086790,114800.0
298040,3246000.0
000810,663000.0
005490,358000.0
006800,51100.0
042700,291000.0
009540,375500.0
000150,1621000.0
011070,1072000.0
010130,1164000.0
015760,35900.0
010140,25300.0
051910,316500.0
316140,30150.0
017670,100000.0
064350,188400.0
267250,245500.0
033780,185100.0
307950,710000.0
138040,106000.0
018260,229500.0
011200,18850.0
096770,103200.0
035720,39300.0
079550,764000.0
024110,20950.0
272210,88600.0
003670,184700.0
003550,107500.0
278470,410500.0
086280,195800.0
030200,60000.0
000720,122700.0
047810,141900.0
071050,230000.0
010950,113100.0
006260,373500.0
443060,245500.0
323410,23400.0
005940,31200.0
259960,233000.0
0126Z0,434000.0
047050,58100.0
016360,111800.0
352820,218000.0
005830,140000.0
003490,24800.0
039490,341500.0
007660,123200.0
064400,93000.0
028050,45550.0
003230,1176000.0
161390,71100.0
000880,117600.0
047040,20450.0
005387,235500.0
180640,118400.0
353200,156800.0
001440,36950.0
454910,109300.0
326030,88500.0
267270,143100.0
000990,155200.0
078930,71700.0
004170,714000.0
090430,111800.0
011790,140000.0
062040,213000.0
021240,92000.0
009830,36950.0
034220,12850.0
032640,15390.0
241560,64400.0
000100,76400.0
377300,44800.0
023530,202000.0
036570,260000.0
005385,234500.0
029780,47150.0
271560,138100.0
138930,16820.0
128940,411000.0
088980,10930.0
000500,324000.0
010060,283500.0
001040,173000.0
066970,125800.0
175330,26000.0
336260,70500.0
052690,116400.0
018880,4230.0
002380,490500.0
004020,32150.0
082740,50100.0
088350,4750.0
085620,29350.0
022100,27100.0
069960,187100.0
103590,77800.0
450080,52700.0
051900,238500.0
111770,80800.0
489790,70300.0
012510,120000.0
251270,43050.0
036460,35750.0
007810,139200.0
001450,37800.0
035250,15600.0
383220,83200.0
011170,76000.0
014680,296000.0
031210,44600.0
017800,79400.0
302440,39350.0
011780,119700.0
004800,176900.0
005850,64900.0
097950,194700.0
012750,76700.0
139130,18320.0
001720,169300.0
028670,4995.0
009420,53000.0
375500,70200.0
483650,211000.0
004990,26650.0
279570,6220.0
026960,25450.0
020150,47950.0
000240,25850.0
139480,88400.0
003690,13490.0
009970,185300.0
204320,50000.0
001740,11670.0
007340,39950.0
081660,43900.0
457190,79200.0
004370,375000.0
439260,60000.0
282330,128000.0
051600,49300.0
030000,19310.0
006360,26200.0
000155,555000.0
008770,55700.0
120110,71900.0
071970,62300.0
005440,13260.0
018670,224500.0
161890,86100.0
008930,29800.0
007070,23750.0
103140,69900.0
011210,71600.0
192820,165900.0
097230,20800.0
00680K,13900.0
395400,6020.0
002790,24550.0
462870,30750.0
000120,79800.0
229640,58000.0
001800,27950.0
322000,153000.0
112610,40550.0
093370,15770.0
001430,46350.0
023590,38500.0
009155,570000.0
017960,31250.0
192080,74600.0
001120,40000.0
281820,76400.0
361610,20500.0
032350,18090.0
006280,124200.0
006040,32300.0
020560,6820.0
001820,133300.0
005070,42850.0
069620,120300.0
003540,28600.0
475150,40550.0
298020,324500.0
034230,14760.0
195870,80900.0
003570,40650.0
007310,340000.0
066575,77300.0
181710,40100.0
294870,19340.0
073240,4520.0
077970,31650.0
004000,48850.0
415640,9900.0
030610,10790.0
000815,406500.0
012630,19860.0
003530,5480.0
082640,7400.0
000080,16430.0
051915,146000.0
330590,3735.0
089860,30600.0
000210,52000.0
003090,18050.0
300720,13930.0
499790,50800.0
003240,902000.0
009450,68900.0
456040,106100.0
280360,105000.0
005300,101400.0
100090,15220.0
192400,26000.0
057050,78700.0
185750,69800.0
071055,161200.0
365550,3665.0
003470,4795.0
006110,60000.0
451800,5020.0
248070,18170.0
030190,14740.0
137310,7140.0
075580,14890.0
298050,194400.0
090460,25450.0
000670,46600.0
005690,13810.0
036530,51400.0
214320,20600.0
003160,29200.0
336370,11190.0
071320,70100.0
00088K,40200.0
006120,44800.0
108320,48650.0
025540,76100.0
006650,120900.0
006340,10000.0
009240,32300.0
064960,28900.0
010780,24600.0
114090,12310.0
033240,35000.0
005090,52200.0
285130,44550.0
000370,6250.0
079160,4430.0
079900,50700.0
003850,8400.0
004490,52100.0
00104K,160000.0
002350,6940.0
293940,5400.0
100840,32950.0
178920,22700.0
001510,2880.0
002020,51600.0
484870,72000.0
002960,494000.0
007700,16600.0
069260,16060.0
093050,22000.0
001570,9900.0
317450,43300.0
005880,1946.0
006380,3660.0
003620,3100.0
005180,67300.0
001680,17810.0
008060,19620.0
001270,58100.0
001060,26500.0
014820,21450.0
383800,7890.0
002840,127400.0
249420,18570.0
000400,1864.0
017940,84900.0
016380,5820.0
453340,17220.0
003030,134000.0
001500,8880.0
000640,82400.0
094800,5760.0
039130,34500.0
268280,104900.0
058650,124700.0
017900,9090.0
009410,1745.0
005389,224000.0
217590,22250.0
005810,35550.0
